date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:36:18	196/196	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2007%20May%202022%2004:38:25%20GMT	http://meeyer.veracruz.tecnm.mx/robots.txt		(from )
23:36:20	74944/74944	---MC-	200	added ('OK')	text/html	date:Sat,%2007%20May%202022%2004:38:25%20GMT	http://meeyer.veracruz.tecnm.mx/	C:/Users/carli/Desktop/Energias/meeyer.veracruz.tecnm.mx/index.html	(from )
23:36:22	9044/9044	---M--	200	added ('OK')	text/css	etag:%222354-5cd4fbc0baef8%22	http://meeyer.veracruz.tecnm.mx/assets/web/assets/mobirise-icons/mobirise-icons.css	C:/Users/carli/Desktop/Energias/meeyer.veracruz.tecnm.mx/assets/web/assets/mobirise-icons/mobirise-icons.css	(from http://meeyer.veracruz.tecnm.mx/)
23:36:22	48492/48492	---M--	200	added ('OK')	text/css	etag:%22bd6c-5cd4fba4402e9%22	http://meeyer.veracruz.tecnm.mx/assets/bootstrap/css/bootstrap-grid.min.css	C:/Users/carli/Desktop/Energias/meeyer.veracruz.tecnm.mx/assets/bootstrap/css/bootstrap-grid.min.css	(from http://meeyer.veracruz.tecnm.mx/)
23:36:24	3843/3843	---M--	200	added ('OK')	text/css	etag:%22f03-5cd4fba43eb79%22	http://meeyer.veracruz.tecnm.mx/assets/bootstrap/css/bootstrap-reboot.min.css	C:/Users/carli/Desktop/Energias/meeyer.veracruz.tecnm.mx/assets/bootstrap/css/bootstrap-reboot.min.css	(from http://meeyer.veracruz.tecnm.mx/)
23:36:25	237/237	---M--	200	added ('OK')	text/css	etag:%22ed-5cd4fb9e7a670%22	http://meeyer.veracruz.tecnm.mx/assets/tether/tether.min.css	C:/Users/carli/Desktop/Energias/meeyer.veracruz.tecnm.mx/assets/tether/tether.min.css	(from http://meeyer.veracruz.tecnm.mx/)
23:36:25	9706/9706	---M--	200	added ('OK')	text/css	etag:%2225ea-5cd4fbababd5e%22	http://meeyer.veracruz.tecnm.mx/assets/socicon/css/styles.css	C:/Users/carli/Desktop/Energias/meeyer.veracruz.tecnm.mx/assets/socicon/css/styles.css	(from http://meeyer.veracruz.tecnm.mx/)
23:36:26	1680/1680	---M--	200	added ('OK')	text/css	etag:%22690-5cd4fb9c16197%22	http://meeyer.veracruz.tecnm.mx/assets/styles/iconos.css	C:/Users/carli/Desktop/Energias/meeyer.veracruz.tecnm.mx/assets/styles/iconos.css	(from http://meeyer.veracruz.tecnm.mx/)
23:36:27	27740/27740	---M--	200	added ('OK')	text/css	etag:%226c5c-5cd4fc2fc8109%22	http://meeyer.veracruz.tecnm.mx/img/iconos/ico/style.css	C:/Users/carli/Desktop/Energias/meeyer.veracruz.tecnm.mx/img/iconos/ico/style.css	(from http://meeyer.veracruz.tecnm.mx/)
23:36:27	42396/42396	---M--	200	added ('OK')	text/css	etag:%22a59c-5cd4fb9c16967%22	http://meeyer.veracruz.tecnm.mx/assets/styles/estilo-compresion.min.css	C:/Users/carli/Desktop/Energias/meeyer.veracruz.tecnm.mx/assets/styles/estilo-compresion.min.css	(from http://meeyer.veracruz.tecnm.mx/)
